nama_tempat,review
Bakso Sayur UB Cab. Sigura-gura,"Enak sih, tpi bukan yg enak bangeet, free sayur dan free gajih bukan koyor ya beda, free parkir jga, tpi untuk parkir mobil kayaknya agak susah,
untuk tempat lumayan kotor sih ya, pelayanan ramah, tpi yg sdkit ngeganggu tuh meja makannya, meja sama kursi sejajar jdi kalo makan harus bungkuk jdi agak gak nyaman, coba kalo mejanya agak tinggian bakal lebih nyaman, ada tempat d lantai 2 lebih enak udaranya seger karna terbuka,untuk minumannya lumayan lah standart warung,
sama tempat sayur alasnya jangan pake kertas minyak atau kertas apalah itu,jdi kalo kena basah sayuran jadinya mrupul kertasnya ke tarik bareng sayurannya, jdi kertasnya nyampur sama sayur di mangkok,
sambel kurang pedes menurutku,overall lumayan lah ya,
Tpi balik lagi keselera masing2,
semoga sukses

Sayang gak foto macam2 baksonya karna antri ramee, jdi buru2 ambil dan lgsung naik buat makan"
Bakso Sayur UB Cab. Sigura-gura,"bakso nya enak bangeet, banyak variannya juga dan yang terpenting sayurnya full kita bisa ambil sepuasnya😍😍💯✅"
Bakso Sayur UB Cab. Sigura-gura,murah dan enak mbak nya baik
Bakso Sayur UB Cab. Sigura-gura,Makanannya enak dan bisa ambil sendiri. Mantap. Cobainn deh gaisss!!
Bakso Sayur UB Cab. Sigura-gura,"sukaa baksonya berdaging, sambelnya pedes.. mantep pelayanannya jugaa dannn tidak gratis parkirr"
Bakso Sayur UB Cab. Sigura-gura,Baksonya enak bangett. Pelayananya juga cepat dan murah. worth it banget
Bakso Sayur UB Cab. Sigura-gura,"Mantaplah pokonya. Enak, ramah, dan worth it"
Bakso Sayur UB Cab. Sigura-gura,Baksonya terlalu asin. Kuahnya kurang sedap.
Bakso Sayur UB Cab. Sigura-gura,"Bakso kejunya the besttt, selain itu bakso kasarnya kasar banget dan bakso halusnya halus banget. Suasanya makannya nyaman, dipinggir jalan dan dapat struk jadi untuk split bill aman🤩"
Bakso Sayur UB Cab. Sigura-gura,"udah 3 kali kesini tp pelayanan kureng bgt, tolong hormati orang yg ngambil bakso masa tiba” tutup nya bakso ditutup, dan biasakan juga melayani customer dg ramah mas, tolong diperbaiki"
Bakso Sayur UB Cab. Sigura-gura,manteppp pake pollll luv poll❤️‍🔥❤️‍🔥💞💗
Bakso Sayur UB Cab. Sigura-gura,"harus cobain bakso sayur ub, karena beneran enak semuanya"
Bakso Sayur UB Cab. Sigura-gura,"Mantap banget pelayanan ok, sangat recommend"
Bakso Sayur UB Cab. Sigura-gura,"enakk , mumer dan pas dikantong recomended sekali 👍🏻"
Bakso Sayur UB Cab. Sigura-gura,"Asli , enak banget iniii baksonya. Murah pwollll mana gratis sayur , mie , koyor. Beehhh sedekahnya gak main2 😍😍
Pelayanannya jg ramah pol, karyawannya ramah semua . Tempatnya jg nyaman dan bersih 🥰🥰

Lancar barokah untuk semuanya, sehat selalu dan tetap pertahankan pelayanannya 🫶🏻🫶🏻🫶🏻💯💯💯💯"
Bakso Sayur UB Cab. Sigura-gura,"Kuahnya enak, tipe bening berkaldu. Bakso nya enak, dan bisa ambil sendiri ☺"
Bakso Sayur UB Cab. Sigura-gura,"bakso paling favorite di malang, enak bgt"
Bakso Sayur UB Cab. Sigura-gura,"enak, tempatnya luas, lemaknya endul bgt."
Bakso Sayur UB Cab. Sigura-gura,Bakso nya mantap...
Bakso Sayur UB Cab. Sigura-gura,"Makananya oke tapi sorry to say aku ga bakalan balik lg krn udh ad tukang parkirnya.
Bakso sebelah aja ga ada tukang parkir nya"
Bakso Sayur UB Cab. Sigura-gura,Baksonya enak daging banget dan empuk enak
Bakso Sayur UB Cab. Sigura-gura,Bakso enak rame terus.. lah malesnya skrg ada tukang parkirnya😂 …
Bakso Sayur UB Cab. Sigura-gura,"tempat nya nyaman, harga nya worth it, baksonya top"
Bakso Sayur UB Cab. Sigura-gura,"Jujur, rasanya biasa aja sih. Enak tapi yaudah, nggak memorable. Free gajih/kotor tapi pas ke sana juga udah abis, jadi ya sama aja. Bakso susah buat dibedain... Terus kuahnya agak bingung, mau seger bening gitu ngga, tapi yang heavy juga ngga"
Bakso Sayur UB Cab. Sigura-gura,enak dan worth it banget
Bakso Sayur UB Cab. Sigura-gura,"Ok. Kita cerita dikit buat masukan
Untuk pento ok lah. Enak. Tapi bingung milihnya karena di campur. Dan rasanya B saja.
Untuk Kuah: agak asin, jadi B saja lah
Untuk jenis caos, agak kaget sih, kok pake caos kayak gtu ya,,, jujur, caos model gitu membuat kuah semakin gak enak. Karena biasanya nemuin caos kayak gitu itu hajya di bakso yang penting jualan aj gak ngandelin enak atau tidak. Jadi C. Maka sarannya, ganti caos yg lbh enak lagi.
Untuk kecap, B saja. Karena gak tahu tu jenis kecap apa.
Untuk minuman, agak lambat buwanget tadi. Sampek makan selesai minuman belum dateng bahkan kita harus konfirmasi ulang. Terus es jeruknya kurang sip menurut sy, apalagi pake gelas yg bukan kaca.. ih...
Untuk jenis Mie, B saja. Karena td terlaku lembek. Jauh dr ekspektasi bakso sayur yg lain. Yg lbh kecil dan agak keras dikit.
Kalo tempat, ok lah.
Intinya, dari sisi rasa dg nama besar bakson ini, sy kasik B agak ke C..."
Bakso Sayur UB Cab. Sigura-gura,Rasanya emang harganya murah cocok buat pecinta bakso 🤤🤤🥰
Bakso Sayur UB Cab. Sigura-gura,enak bgt baksonya
Bakso Sayur UB Cab. Sigura-gura,ENAKKK WAJIBB COBAAA
Bakso Sayur UB Cab. Sigura-gura,bakso nya enak kuah mantap
Bakso Sayur UB Cab. Sigura-gura,baksonya enak dan murah
Bakso Sayur UB Cab. Sigura-gura,Suasananya nyaman
Bakso Sayur UB Cab. Sigura-gura,"Baksonya enak, pilihan isian atau topingnya beragam"
Bakso Sayur UB Cab. Sigura-gura,"Rasa lumayan diatas biasa, katanya tetelan sepuasnya tapi kalau habis ya pasrah karena gatau ditambahin kapan"
Bakso Sayur UB Cab. Sigura-gura,"Rada sempit mau keluar masuk susah, soalnya dempet dempet an meja makannya wkwk, tapi ga masalah, yg jadi masalah udah ada tukang parkirnya, padahal pas pertama ke situ ga ada😭😭"
Bakso Sayur UB Cab. Sigura-gura,"Serius cabang ini beda sama yang di suhat ,disini mie dan baso nya ga fresh ,tempatnya kurang nyaman ,pelayanannya kurang"
Bakso Sayur UB Cab. Sigura-gura,enakk bangett
Bakso Sayur UB Cab. Sigura-gura,"baksonya sedapp, kuahnya segar"
Bakso Sayur UB Cab. Sigura-gura,"Baksonya enak, lebih worth it yg isi daging cincang. Saran mungkin bisa gunakan mangkok yg lebih besar ya, dikarenakan ukuran baksonya sendiri sudah lumayan menguras space mangkok, belum kondimen lainnya seperti sayur, gorengan, koyor dsbnya yg tentunya membuat agak kesusahan jadinya. Untuk parkir agak terbatas tapi gratis, baiknya bawa motor saja."
Bakso Sayur UB Cab. Sigura-gura,untuk mangkok mungkin bisa di pindahkan posisi nya karna berlawanan sama arah ngantri.. sama butuh nampan untuk bawa mangkok nya buat yang ga kebagian lantai bawah susah banget
Bakso Sayur UB Cab. Sigura-gura,"Enak .. sayang bakso kejunya habi...
Mumgkinnext kembali buat beli bakso keju lumernya"
Bakso Sayur UB Cab. Sigura-gura,bakso nya enakkk banget pelayanan nya ramahh polll
Bakso Sayur UB Cab. Sigura-gura,"Jadi males balik lg soalnya udh ada tukang parkir nya, padahal dulu gratis parkir"
Bakso Sayur UB Cab. Sigura-gura,bakso sayurrr terenakkkkk
Bakso Sayur UB Cab. Sigura-gura,Baksonya enak bgtt
Bakso Sayur UB Cab. Sigura-gura,makananya enak
Bakso Sayur UB Cab. Sigura-gura,bakso nya enak!
Bakso Sayur UB Cab. Sigura-gura,"Karena harus ambil sendiri agak membingungkan untuk membedakan jenis bakso yang ada varian isinya, selain itu kuahnya kurang panas"
Bakso Sayur UB Cab. Sigura-gura,"Ada bakso moza sama kejunyaa, suka"
Bakso Sayur UB Cab. Sigura-gura,"cocok banget buat mahasiswa bisa ambil sayur, koyor, dan mie sepuasnya gratisss"
Bakso Sayur UB Cab. Sigura-gura,antri makanan nya terlalu panjang
Bakso Sayur UB Cab. Sigura-gura,"suka sih, tapi kenapa skrg ada parkirnya :( ...."
Bakso Sayur UB Cab. Sigura-gura,"Baksonya enak, gorengannya juga enak.. worth to eat dehh"
Bakso Sayur UB Cab. Sigura-gura,"parkir gratiss, harga terjangkau, enak mantapp 🤩🤩🤩"
Bakso Sayur UB Cab. Sigura-gura,Asli enak daging banget kejunya juga real muncrat kalo di gigit
Bakso Sayur UB Cab. Sigura-gura,"Pelayanan bagus, bakso enak"
Bakso Sayur UB Cab. Sigura-gura,Baksonya mantap
Bakso Sayur UB Cab. Sigura-gura,Tempat dan suasananya amann dan baksonya mantap poll
Bakso Sayur UB Cab. Sigura-gura,enakk poll worth it
Bakso Sayur UB Cab. Sigura-gura,"enakk, free refill mie, sayur, dan tetelan. mantappp"
Bakso Sayur UB Cab. Sigura-gura,Enak murah bersih
Bakso Sayur UB Cab. Sigura-gura,"sippp bagus enak, sangat recomended"
Bakso Sayur UB Cab. Sigura-gura,enak sekali
Bakso Sayur UB Cab. Sigura-gura,Enak bakso nya nyaman tempat nya
Bakso Sayur UB Cab. Sigura-gura,bakso murah enak sesaap
Bakso Sayur UB Cab. Sigura-gura,Mantappp daging pol. Rasanya
Bakso Sayur UB Cab. Sigura-gura,gokil banget sihhh enakkk polll makasihh
Bakso Sayur UB Cab. Sigura-gura,enak dan murah
Bakso Sayur UB Cab. Sigura-gura,"Enak terus mba"" ramahh 🥰"
Bakso Sayur UB Cab. Sigura-gura,Sangat rame tapi okelah worth it dengan kerameannya
Bakso Sayur UB Cab. Sigura-gura,"makanannya enak, tempatnya nyaman"
Bakso Sayur UB Cab. Sigura-gura,"Baksonya macem variannya banyak bisa ambil sayur sepuasnya, top"
Bakso Sayur UB Cab. Sigura-gura,Enak dan murah serta nyaman
Bakso Sayur UB Cab. Sigura-gura,"Murah, enak poll, harga cocok buat mahasiswa"
Bakso Sayur UB Cab. Sigura-gura,kuahnya mantap
Bakso Sayur UB Cab. Sigura-gura,enak ramah pol
Bakso Sayur UB Cab. Sigura-gura,Enak harga pas👌👌
Bakso Sayur UB Cab. Sigura-gura,Makan disini enak pwool paraah langsung datang
Bakso Sayur UB Cab. Sigura-gura,"pelayanan oke, enakkk poll"
Bakso Sayur UB Cab. Sigura-gura,pelayanan ramah
Bakso Sayur UB Cab. Sigura-gura,Enak banget bisa ambil tetelan
Bakso Sayur UB Cab. Sigura-gura,Tempatnya ebak
Bakso Sayur UB Cab. Sigura-gura,Enak dan lengkap 😆🙌🏻 …
Bakso Sayur UB Cab. Sigura-gura,enak banget
Bakso Sayur UB Cab. Sigura-gura,"baksonya murah, enak, sayurnya banyak"
Bakso Sayur UB Cab. Sigura-gura,Rame bgtt baksonya enak
Bakso Sayur UB Cab. Sigura-gura,Semuanya enakkk
Bakso Sayur UB Cab. Sigura-gura,Pelayanan ramah pol
Bakso Sayur UB Cab. Sigura-gura,"parkir gratis🔥🔥 harga oke, fasill josjiss"
Bakso Sayur UB Cab. Sigura-gura,sangat enak
Bakso Sayur UB Cab. Sigura-gura,Banyak varian..ramah..self service
Bakso Sayur UB Cab. Sigura-gura,Wenaakk.. topp.. porsi ambil sendiri
Bakso Sayur UB Cab. Sigura-gura,ayo mahasiswa dan arek malang kesiniiii
Bakso Sayur UB Cab. Sigura-gura,Makanan enak dan murah
Bakso Sayur UB Cab. Sigura-gura,Enak sekali wajib coba
Bakso Sayur UB Cab. Sigura-gura,"enak, nyaman, cocok untuk anak kos"
Bakso Sayur UB Cab. Sigura-gura,Rekom buat mahasiswa karena murce
Bakso Sayur UB Cab. Sigura-gura,Puwenak pol
Bakso Sayur UB Cab. Sigura-gura,Enak rekomen pol
Bakso Sayur UB Cab. Sigura-gura,"Mantappp, semoga lancar terus, sukses!!!"
Bakso Sayur UB Cab. Sigura-gura,"sayurnya buaanyaaakkk gratis, wenak pol"
Bakso Sayur UB Cab. Sigura-gura,enakk banget
Bakso Sayur UB Cab. Sigura-gura,Rekomended buat pelajar..
Bakso Sayur UB Cab. Sigura-gura,mantab!
Bakso Sayur UB Cab. Sigura-gura,Sayurnya mantap dan beras kencurnya
Bakso Sayur UB Cab. Sigura-gura,rekomen bangett
Bakso Sayur UB Cab. Sigura-gura,ENAK BANGET DEKET KOS
Bakso Sayur UB Cab. Sigura-gura,Sippp sepuase
Bakso Sayur UB Cab. Sigura-gura,Wajib dicoba sih!😍 …
Bakso Sayur UB Cab. Sigura-gura,Daging bangett
Bakso Sayur UB Cab. Sigura-gura,Baksonya enak
Bakso Sayur UB Cab. Sigura-gura,Bakso enakk
Bakso Sayur UB Cab. Sigura-gura,Rekomended
Bakso Sayur UB Cab. Sigura-gura,murah untuk anak kos
Bakso Sayur UB Cab. Sigura-gura,Enak sekali
Bakso Sayur UB Cab. Sigura-gura,Murah dan enak
Bakso Sayur UB Cab. Sigura-gura,Mantap
Bakso Sayur UB Cab. Sigura-gura,baksonya enak
Bakso Sayur UB Cab. Sigura-gura,wenak pol
Bakso Sayur UB Cab. Sigura-gura,murah dan enak
Bakso Sayur UB Cab. Sigura-gura,enakkkkkkkk
Bakso Sayur UB Cab. Sigura-gura,Enakkk!!!
Bakso Sayur UB Cab. Sigura-gura,Enak baksonya
Bakso Sayur UB Cab. Sigura-gura,GOKIL
Bakso Sayur UB Cab. Sigura-gura,Enak
Bakso Sayur UB Cab. Sigura-gura,Mantab
Bakso Sayur UB Cab. Sigura-gura,mantapp
Bakso Sayur UB Cab. Sigura-gura,Gurih
Bakso Sayur UB Cab. Sigura-gura,okee
Bakso Sayur UB Cab. Sigura-gura,Enakk
Bakso Sayur UB Cab. Sigura-gura,lumer
Bakso Sayur UB Cab. Sigura-gura,Baksonya enak.
Bakso Sayur UB Cab. Sigura-gura,mantap
Bakso Sayur UB Cab. Sigura-gura,ENAKKK
Bakso Sayur UB Cab. Sigura-gura,Mantapp
Bakso Sayur UB Cab. Sigura-gura,enakkk
Bakso Sayur UB Cab. Sigura-gura,enak
Bakso Sayur UB Cab. Sigura-gura,murah
Bakso Sayur UB Cab. Sigura-gura,"Baksonya Enak, pelayanan.nya ramah"
Bakso Sayur UB Cab. Sigura-gura,baksonyaa enakk besa full dagingg jugaa
Bakso Sayur UB Cab. Sigura-gura,cocok untuk mahasiswa
Bakso Sayur UB Cab. Sigura-gura,mantab
Bakso Sayur UB Cab. Sigura-gura,"Tempatnya luas, nyaman, dan kasirnya ramah. Bakso enakk ygy"
Bakso Sayur UB Cab. Sigura-gura,Kasirnya ramah banget
Bakso Sayur UB Cab. Sigura-gura,WENNAAKKKK POLLLLL🤩🤤
Bakso Sayur UB Cab. Sigura-gura,"Pelayanannya sangat buruk. Para kru hanya bernyanyi, menari, dan mengobrol satu sama lain. Mereka menjalani hidup mereka sepenuhnya. Apa gunanya mereka di toko ini???? Bahkan tidak berguna bagi pelanggan. Anda mungkin akan mendapatkan pengalaman yang lebih baik jika makan di sana dan tidak peduli dengan kru yang berisik dan tidak berguna. Tapi kalau Anda ingin membawa pulang baksonya, lebih baik beli di tempat lain."
Bakso Sayur UB Cab. Sigura-gura,itu sangat berharga
Bakso Sayur UB Cab. Sigura-gura,Jajak pendapat yang bagus
Bakso Sayur UB Cab. Sigura-gura,"Terbaik, Tuan."
Bakso Sayur UB Cab. Sigura-gura,Bakso terbaik di kota
Bakso Sayur UB Cab. Sigura-gura,INI DIA
Bakso Sayur UB Cab. Sigura-gura,Bagus🤩
Bakso Sayur UB Cab. Sigura-gura,rekomendasi
Bakso Sayur UB Cab. Sigura-gura,YAREUUU
Bakso Sayur UB Cab. Sigura-gura,stabil
Bakso Sayur UB Cab. Sigura-gura,mantel
Bakso Sayur UB Cab. Sigura-gura,Haucekkk
Bakso Sayur UB Cab. Sigura-gura,Mantaab
Bakso Sayur UB Cab. Sigura-gura,Dinilai terlalu tinggi
Bakso Sayur UB Cab. Sigura-gura,Bagus
Bakso Sayur UB Cab.Sukun,"enak banget dan tempat nya nyaman, bakso nya kerasa daging banget dan pelayanan nya ramah"
Bakso Sayur UB Cab.Sukun,"Tempatnya bersih luas dan nyaman, dan dan beneran bisa ambil koyor sepuasnya, pokoknya rekomend lah ✌🏻"
Bakso Sayur UB Cab.Sukun,"Nyoba bakso, rasanya enak sampai lupa difoto, aksesnya mudah di pinggir jalan, tempatnya luas, bisq untuk dicoba"
Bakso Sayur UB Cab.Sukun,"Pertama kali kesini...
Karena tertarik dengan...bakso isiannya...ada daging ,keju,telur,dll ..
Tapi karena kita kesini nya terlalu malam sekitar jam setengah 10 an... jadi mungkin sudah banyak yg habis...jadi tinggal pentol alus kecil aja sama tahu (sesuai di foto).
Untuk harga standart pada umumnya ...untuk rasa pentol ga terlalu asin...lebih ke texture yang kenyel padet,kuah bening bukan yg butek kaya di bakso solo ya 🤭✌️...jadi rasanya ya biasa aja ...ga yang begitu ngaldu seperti bakso pada umumnya aja 😁✌️🙏..
Untuk pelayanan sistemnya prasmanan alias ngambil sendiri kecuali minumnya.
Untuk mie putih/kuning,,sayur gratis..bisa ambil sepuasnya ya... Kalo koyornya udah ga ada mungkin udah malem..
Lalu setelah ambil sendiri baksonya.. Klian harus bayar dulu ke kasir bisa cash maupun Qris ..
Untuk pelayanan gercep minumannya jg cepet sampe ke meja...
Cuma minusnya kenapa di setiap meja ga disediakan tisuu??(Kenapa harus ambil sndri ke kasir ?)

Parkiran cukup untuk motor ..tapi kalo yg bawa mobil kayae susah karena poros jalan banget ...

Ya ..smoga sukses selalu usahanya di berikan kelancaran rejeki...amin..

Yaudin gitu aja reviewnya 👌🙏"
Bakso Sayur UB Cab.Sukun,"bakso nya sedapp.. banyak varian isi nya,
free sayur, koyor, mie juga gratiss tiss tiss ambil sepuasnya.
minuman nya es jeruk perusnya mantap,, rekomended bangett"
Bakso Sayur UB Cab.Sukun,"ga perlu diragukan lagiii, baso nya enakkkk harga terjangkau masuk kantong mahasiswa, sayuran+mie freee, tempat nya cabang sukun ini nyaman"
Bakso Sayur UB Cab.Sukun,"Bintang bukan sembarang bintang. Coba baca review ku!!

1. Parkiran sempit.
2. Mangkok dan piring yg katanya bersih nyatanya berminyak, cucinya ga bersih..
3. Tauge abis waktu itu
4. Goreng kembang dan horeng panjang rasanya ga enak. Kayaknya adonan weci yg dipake isian. Bukan adonan baso.
5. Mie kuning terlalu mblotong jd bikin kenyang.
Pentol isian dan pentol biasanya semua dalam keadaan dingin. Ga ada anget2 sama sekali. Jadi tergolong keras. Bakso keju moncrot?? Mustahill.. motong pentol pake sendok aja susah. Tidak sekenyal yg ada di reels reels influencer.
6. Kuah dingin ga panas jadinya eneq.
7. Tempatnya kotor"
Bakso Sayur UB Cab.Sukun,"Baksonya enak, ada bakso isi keju, isi daging, dan isi telur. Sayurnya ambil sepuasnya. Kondimennya lengkap. Pelayanannya ramah. Recommended 👏🏻"
Bakso Sayur UB Cab.Sukun,"BAKSOOO TERENAKKKK REKOMEND BANGETTT SIIII BIKIN PENGEN TRS, PLUSS FREE SAYUR&MIE DAN BISAA DAPET GAJEE BANYAKKK😍😍🫶🏻🫶🏻"
Bakso Sayur UB Cab.Sukun,"Enak poll, bebas ambil koyor, sayur, mie sepuasnya, rekomen banget dehh🥰🥰"
