Mata Pelajaran,Soal,Jawaban,Skor,Keterangan
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"iya, karena pembusukan pakan ternak juga ada proses perubahan bahan pakan akibat aktivitas mikroganisme seperti bakteri dan jamur yang menguraikan organik.",10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"perubahan warna, perubahan bentuk gas, oerubahan bau, terbentuk endapan",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,pelarutan gula dalam air merupakan perubahan fisika karena tidak menghasilkan zat baru partikel gula tetap ada hanya menyebar merata dengan partikel air,10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,pembekuan air merupakan perubahan fisika karena hanya terjadi perubahan wujud tanpa pembentukan zat baru. Oleh karena itu perubahan wujud tidak selalu dinamakan perubahan kimia,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","karena ketika kertas di bakar kertas itu menghasilkan abu, abu itu yang dinamakan zat baru. Sedangkan kertas yang dirobek hanya menghasilkan serpihan kertas tidak merubah zat tersebut.",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Perubahan warna terjadi karena susunan partikel atau struktur kimia. Zat berubah sehingga sifat fisiknya termasuk warna ikut berubah.,10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,komponen Dasar yang membentuk Seluruh benda fisik dalam semesta,0,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"Fisika : akibat aktivitas mikroorganisme (bakteri, jamur) atau reaksi enzimatis yang menurunkan nilai nutrisi pakan proses ini ditandai dengan terbentuknya zat-zat baru yang merugikan (hasil samping pembusukan ) Dan hilangnya komponen nutrisi yang berguna. Kimia: menghasilkan zat baru dengan sifat berbeda melalui reaksi  kimia seringkali tidak dapat kembali.",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"akibat aktivitas mikroorganisme (bakteri, jamur) atau rekasi enzimatis yang menurunkan nilai nutrisi",0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,perubahan zat yang menghasilkan zat baru dengan sifat kimia yang berbeda dari zat asalnya dan bersifat permanen (tidak dapat kembali kebentuknya semula),10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,perubahan zat kimia,0,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,klasik dari perubahan proses ini terjadi ketika air (cair) melepaskan energi panas (kalor) suhu dibawah 0 derajat c merubahnya menjadi es batu.,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","Contoh Perubahan fisika: Merobek kertas, hasil pengamtan yaitu ukuran kertas berubah menjadi lebih kecil, keberdaan zat barunya yaitu tidak ada karena kertas hanya berubah ukuran atau bentuk. Contoh perubahan kimia : Membakar kertas, hasil pengamatan yaitu kertas berubah warna menjadi hitam menghasilkan asap dan sisa abu, keberadaan zat barunya yaitu adanya warna abu dan asap yang membuat berbeda dari kertas asal.",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Perubahan indikator visual yang paling umum terjadi dengan reaksi kimia,0,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah segala sesuatu yang memiliki massa dan menempati ruang.,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"Fisika : Sifat yang dapat diukur dan diteliti tanpa mengubah komposisi atau susunan zat. Contoh : es batu menjadi air, air menjadi es batu. Kimia : Kemampuan suatu zat untuk mengalami perubahan dan membentuk zat baru. Contoh : nasi busuk, sampah di bakar",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"Karena di Perubahan kimia ada fase Pembusukan, jika pakan diamkan lama, maka perubahan kimia berekasi, yaitu membusuk",0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"Pembakaran / Gas. Gas dapat menimbulkan api. Jika kita menaruh kertas ke atas api, maka terjadilah Pembakaran itulah yang disebut perubahan kimia.",0,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,"Gula tersebut meleleh atau larut, tentunya gula akan hilang atau berubah, gula tersebut berubah menjadi zat baru, karena awalnya dia berbentuk kering menjadi leleh ini termasuk perubahan fisika.",10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,"Karena dari air yang cair menjadi es yang beku, ini terjadi karena perubahan fisika.",10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","Karena kertas yang semula biasa menjadi terbakar dan hangus. Sedangkan kertas yang disobek hanya berubahbentuk, tidak berubah zat.",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","Tidak, karena perubahan warna termasuk ke perubahan fisika dikarenakan dari warna pink menjadi warna merah, itu karena perubahan yang menimbulkan perbedaan warna, maka perubahan fisika, bukan kimia.",0,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah segala sesuatu yang memiliki massa dan menempati ruang.,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"perubahan fisika tidak menghasilkan zat baru, hanya berubah bentuk atau wujud. Contoh : es mencair, air menguap, kertas disobek. Perubahan kimia menghasilkan zat baru dengan sifat berbeda. Contoh : kayu terbakar, besi berkarat, makanan membusuk",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,Pembusukan terjadi karena aktivitas mikroorganisme (Bkteri/jamur) yang menguraikan bahan organik.,10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"perubahan warna : timbul gas (gelembung / bau) terbentuk endapan, perubahan suhu, timbul cahaya.",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,Gula yang dilarutkan dalam air tidak menghasilkan zat baru. Partikel gula hanya menyebar diantara partikel air (perubahan gula termasuk perubahan fisika),10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,"pembekuan air adalah perubahan dari cair menjadi padat karena suhu rendah tidak berbentuk zat baru, hanya berubah wujud ini termasuk perubahan fisika.",10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","jika kertas dirobek merupkan perubahan fisika ( tidak ada zat baru), jika kertas dibakar merupakan perubahan kimia ( menghasilkan abu dan gas)",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","contoh perubahan warna sebagai indikator reaksi kimia, besi berkarat, berubah dari abu abu menjadi coklat kemerahan karena terbentuk karat",10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,zat adalah reaksi yang memiliki,0,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,contoh perubahan kimia adalah pakan ternak yang membusuk. Contoh perubahan fisika adalah es batu yang mencair dan lilin yang meleleh,5,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,Pembusukan terjadi karena aktivitas mikroorganisme (Bkteri/jamur) yang menguraikan bahan organik.,10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"bau yang Tidak enak, makanan yg membusuk",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,Gula yg dilarutkan dalam air tidak terlihat lagi bentuk aslinya berdasarkan Jenis perubahan fisika,10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,fisika,0,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru",karen perubahan kertas dan api adalah perubahan kimia kalau kertas yang disobek Tidak ada atau tidak menghasilkan zat baru.,10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Contohnya air atau warna yang dicampur dengan warna lain atau air the akan berubah. Contoh air putih dengan air the dia akan berubah menjadi kuning kecoklatan kalau warna hitam dengan warna putih akan menjadi silver atau abu,3,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat ialah suatu benda yang dapat mengalami perubahan,0,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,Perubahan kimia adalah Perubahan yang,0,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,karena di dalam pakan ternak tersebut ada micro kecil yang membuat mengalami perubahan kimia,0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,tidak,0,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,"Gula mengalami perubahan zat padat menjadi cair dari perubahan tersebut sudah menghilangkan bentuk Gula tersebut, tapi Gula yang mencair tidak hilang Cuma berubah bentuk.",10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Dari situ mengalami perubahan zat mengkristal karena dari air yang dingin terkena suhu yang sangat dingin sekali akan mengalami perubahan,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru",Karena terbaik,0,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Tidak,0,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,"zat adalah materi yang memiliki massa dan menempati ruang dengan wujud, cair, padat, dan gas",10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"Perbedannya adalah Perubahan dua jenis materi yang berbeda secara mendasar. Contoh perubahan fisika : es batu mencair, gula larut dalam air. Contoh Perubahan Kimia : besi berkarat, susu menjadi yogurt",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"Karena didorong oleh aktivitas mikroorganisme terutama dalam kondisi penyimpanan Yang lembab atau tidak sempurna, pembusukan",0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"terbentuknya zat baru, perubahan warna, pembentukan gas, perubahan suhu",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,gula tersebut menjadi zat baru karena mengalami perubahan zat fisika dimana Yang awalnya Padat menjadi cair ketika dilarutkan,0,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Pembekuan air adalah perubahan fisika karena hanya berubah wujud dari cair menjadi padat,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","karena kertas dipotong perubahan fisika tidak terbentuk zat bar. Kertas dibakar perubahan kimia, kesimpulannya pembakaran menghasilkan zat baru sedangkan pemotongan tidak menghasilkan zat baru.",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Perubahan warna menunjukkan terjadinya reaksi kimia karena terbentuknya zat baru. Contoh: besi berkarat berubah dari abu-abu menjadi coklat,10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Segala Sesuatu Yang mempunyai massa dan memiliki ruang dan massa,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"perubahan fisika tidak menghasilkan zat baru, contoh es batu . Perubahan Kimia menghasilkan zat baru, contoh kayu yang dibakar, besi berkarat",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,karena adanya ,0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"membuat zat baru yaitu adanya perubahan bentuk, rasa, warna itulah perubahan kimia",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,gula itu akan membentuk zat baru ,0,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Air yang membeku jadi es disebabkan karena adanya perubahan kimia yang ditaruh di kulkas dengan suhu dingin  tinggi,0,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","karena kertas yang dibakar menimbulkan zat baru perubahan warna, rasa, bentuk. Sedangkan kertas  disobek tidak menghasilkan perubahan apapun",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","Jika Suatu zat mengalami perubahan warna sudah dipastikan perubahan kimia karena dia buat zat  baru, berubah warnanya, rasanya, bentuknya",5,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat yaitu Segala Sesuatu yang memiliki massa dan ruang,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,Perubahan Fisika yaitu Perubahan yang tidak menghasilkan zat baru. Contoh: es batu dan gula yang mencair,10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,Karena reaksi antara Zat Organik yang di Sebabkan oleh mikroorganisme,0,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"terbentuknya Zat baru, Perubahan warna, Pembentukan gas, timbulnya endapan",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,Gula yg dilarutkan dalam air tidak terlihat lagi bentuk aslinya berdasarkan Jenis perubahan fisika,10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Pembekuan adalan transisi fase dari Cair menjadi Padat  karena adanya Proses Pembekuan,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","karena kertas yang dibakar menimbulkan  Perubahan warna kertas, bau. Sedangkan kertas yang di Sobek tetap akan menjadi Kertas karena  ketidak adanya Perubahan warna, bau",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","iya, karena Perubahan kimia dapat dipastikan dengan adnya Perubahan warna, bau, bentuk, dll. Contohnya Perkaratan yg semula berwarna Putih bisa berubah warna Coklat karena benda itu berkarat.",10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah segala sesuatu yang memiliki massa dan menempati ruang. Zat di klasifikasikan berdasarkan sifatnya yaitu sifat fisika dan sifat kimia,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"Perubahan fisika merupakan perubahan yang tidak menghasilkan zat baru, hanya berubah ukuran, bentuk, dan wujud zat. Contoh: es mencair dan kertas dipotong. Perubahan Kimia merupakan perubahan yang dapat menghasilkan zat baru dengan kompsisi yaitu berbeda dengan zat sebelumnya. Contoh : kayu terbakar dan besi berkarat.",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"Pakan ternak membusuk karena aktivitas mikroorganisme yang menguraikan Zat menjadi zat baru, ditandai dengan bau menyengat, perubahan warna dan tekstur. Termasuk ke dalam Perubahan kimia karena menghasilkan zat baru",10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"Perubahan warna, timbul gas (gelembung), terdapat endapan, Perubahan suhu, timbul bau baru",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,Pelarutan gula adalah Perubahan fisika karena tidak menghasilkan zat baru. Partikel gula hanya menyebar diantara partikel air dan masih bisa dipisahkan kembali misal dengan penguapan,10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Pembekuan air terjadi karena suhu turun sehingga partikel bergerak lebih lambat dan tersusun lebih cepat. Tidak terjadi perubahan zat jadi termasuk peruahan fisika,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","kertas di sobek merupakan perubahan fisika karen atidak menghasilkan zat baru hanya berubah bentuk, ukuran, dan wujud saja. Kertas di bakat merupakan perubahan kimia karena menghasilkan abu dan gas",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","Perubahan warna termasuk dalam reaksi kimia yang dapat menghasilkan zat baru. Contoh besi berkarat berubah menjadi coklat kemerahan, larutan indikator berubah warna saat bereaksi dengan asam atau basa",10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,zat adalah suatu benda atau objek yang dapat berubah secara fisika maupun kimia,0,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,Fisika memengaruhi perubahan bentuk kimia memengaruhi Perubahan sifat warna dan reaksi,0,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"warna, rasa, dan baunya berubah tetapi bentuknya tidak",5,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"rasanya berubah, baunya berubah, dan sifat zat nya berubah",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,Gula menjadi cair atau berubah menjadi zat baru,0,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,Karena air yang membeku berubah menjadi padat,10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru",karena kertas yang dibakar akan memengaruhi perubahan kimia maupun fisika yang dpaat menghasilkan zat baru sedangkan kertas di sobek hanya akan berubah bentuk,10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",dapat dipastikan Perubahan kimia cotoh nya kertas yang di bakar,0,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah segala sesuatu yang memiliki massa dan menempati ruang,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,perubahan fisika merupakan perubahan yang tidak menghasilkan zat baru. Perubahan kimia merupakan perubahan yang menghasilkan zat baru,5,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"Karena termasuk pembusukan, pakan ternak yang membusuk itu menghasilkan zat baru yang dimana dari yang tidak busuk menjadi  busuk",5,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"Terjadinya perubahan suhu, terjadinya perubahan warna, terbentuknya gas",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,"tidak, melainkan dia berubah menjadi cair, jenis perubahan tersebut adalah perubahan fisika karena termasuk perubahan yang tidak menghasilkan zat baru",10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,"air yang membeku menjadi es itu merupakan perubahan fisika karena dia itu tidak menghasilkan zat baru. Membeku itu bukanlah perubahan kimia melainkan perubahan fisika, karena diperubahan kimia tidak ada yang namanya membeku",10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru",karena kertas yang dibakar akan memengaruhi perubahan kimia maupun fisika yang dpaat menghasilkan zat baru sedangkan kertas di sobek hanya akan berubah bentuk,10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh",Contohnya air atau warna yang dicampur dengan warna lain atau air the akan berubah. Contoh air putih dengan air the dia akan berubah menjadi kuning kecoklatan kalau warna hitam dengan warna putih akan menjadi silver atau abu,3,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah segala sesuatu yang memiliki massa dan menempati ruangan,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"perubahan fisika yaitu perubahan suatu benda padat bisa mencair, contoh es batu. Perubahan kimia yaitu perubahan yang menghasilkan zat baru, bukan hanya perubahan wujud, contohnya tape dan yogurt",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"karena reaksi kimia yang menghasilkan zat baru seperti gas, berbau busuk akibat aktivitas mikroorganisme yang menyesuaikan  bahan organik",10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"terbentunya gas atau gelembung, terjadi perubahan warna, terbentuknya endapan atau muncul bau busuk",10,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,"pelarutan gula dalam air merupakan perubahan fisika karena tidak menghasilkan zat baru, partikel gula tetap ada hanya menyebar merata di antara partikel air sehingga membentuk larutan homogen",10,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,pembekuan air terjadi ketika suhu air diturunkan sehingga berubah menjadi padat (es),10,Jawaban Siswa
