username,sentence,food_quality,price,service,ambiance,portion
Steffi Adita,"bakso dengan aneka macam pilihan bakso, gorengan, dan 2 pilihan kuah. kuah kaldu biasa dan kuah pedas. pedasnya emang ga kira2 , tapi taste kuah pedesnya itu ga melulu pedes menjurus ke pait, tapi rasa kuahnya ini penuh rempah, seger aja dan bukan yg berminyak2. saran supaya ga terlalu pedas bisa minta dicampur ajah stengah2. untuk taste bakso lumayan.",neutral,neutral,neutral,neutral,neutral
Alex Afwan,"jika anda ingin bakso goyang lidah semuanya enak, kuahnya, baksonya jenis² macam² baksonya banyak pilihan spt bakso urat , mercon dll nah disinilah tempatnya. dijamin cuman pastinya harganya relatif",positive,positive,neutral,neutral,positive
imror el badri,bakso yang sangat sangat sangat sangat terkenal di banyuwangi kota titik di sini kita bisa makan bakso ala prasmanan ya kita bisa ambil sendiri sesuka kita mau pentol kecilnya berapa mau bakso pedasnya berapa mau bakso kotaknya berapa mau pakai mie apa enggak kuahnya pedas apa biasa mau pakai lontong apa ndak semuanya di sini kita pilih bebas pilih. kapasitas duduknya cukup banyak ya sayangnya parkirannya kecil ya ada di pertigaan pojokan bener mobil apa kita akan susah ya kalau motor sih masih aman kayaknya.,neutral,positive,neutral,positive,positive
Dapur ت,"bakso kondusif pak yanto selalu menjadi favorit sejak kecil. rasanya yang tidak berubah, menu yang semakin inovatif serta tempat makan dibuat senyaman mungkin. ada ruang makan ber-ac di bagian tengah, jadi jangan khawatir gak kebagian tempat duduk ya. selalu ramai di jam makan siang dan makan malam. kuah pedes merahnya juara rasa pedesnya asli dari lombok dan khas rempah-rempah. pilihan pentol dan gorengannya banyak, modelnya prasmanan jadi nanti kita ambil sendiri. pembayaran dilakukan setelah makan yagesya oiya buat yang mau makan kuah pedes jangan datang di malam hari, soalnya itu kuah favorit banget jadi cepet habis. pelayanannya ramah, cekatan harga juga terjangkau.",positive,positive,positive,positive,neutral
Thea Napitupulu,"sistem baksonya prasmanan. ada gorengan juga. baksonya berbagai macam ada yang urat dan biasa. bakso kecilnya kerasa kres2 enak banget dimakan, tahu coklatnya isiannya juga pas dan berasa dagingnya. yang menarik menurut saya di tempat ini dengan bakso prasmanan lain ada pentol kotak yang rasanya sedikit pedas. selain itu kuahnya dibagi dua ada yang pedas dan biasa, ada jeruk limau bisa diambil juga. rasa dari kuahnya yang biasa cukup gurih, kerasa kaldu. sementara yang pedas terkadang pernah saya beli dapat kuah yang rasanya asin, dan menurut saya kuahnya cukup pedas tanpa harus ditambahi sambal lagi. kita memesan ambil sendiri oleh pelayannya dicatat, boleh bayar nanti atau langsung bayar. pelayannya cukup ramah. ruangannya ada yang ber ac, lesehan, dan tempat duduk biasa. untuk akses parkir mobil cukup susah jika sudah ramai banget seperti jam makan siang. bahkan sampai tidak dapat tempat duduk. harganya murah, affordable. jika kita ambil kalap pun nggak begitu mahal. apakah ini termasuk bakso favorite saya? nggak juga karena menurut saya masih ada taste bakso yang rasanya lebih enak. tapi apakah bakal balik lagi? pastinya iya karena harganya terjangkau dan rasanya enak.",positive,positive,positive,neutral,neutral
Intan Dina,"bakso yang terkenal dan bakso yang paling enak di banyuwangi seneng bisa berkunjung ke bakso kondusif bwi. semalam makan disana rame banget pengunjung, tapi sayang nya pelayanannya bagian minum mbak mbak nya kalo ngomong keras sampe 3 kali keras terus dan wajah nya jutek sekali. semoga bisa di perbaikin yaaaa.",neutral,neutral,neutral,neutral,neutral
Hayyu Reyvita isnani,"bakso nya enak,kenyal,terasa daging nya. kuah pedasnya juga sedap wangi. ada rasa campuran jahe cocok bagi yang gak terlalu suka dengan pedas nya cabe.",positive,neutral,neutral,positive,neutral
Sandy Ps,"beli buat ditake away, baru pertama nyoba karena penasaran dg tempat yg menurutku meyakinkan banget. karena pendatang jadi nyoba aja. eh kaget dong, ternyata semua gaada rasa kecuali kuahnya yg gurih. bner2 gak expect, padahal aku beli berbagai macam goreng juga baik bakso halus kecil juga besar. gak tau ini apesku hari ini aja rasanya begini, atau emg rasanya se anyep ini tiap hari. dah pertama dan terakhir aja makan ni bakso. ga sesuai sm harga dan tempatnya sih. moga kedepannya owner atau bagian dapur nyoba dulu lah sebelum di jual",positive,neutral,positive,neutral,negative
Theo Napitupulu,"mantap. rasa kuah tidak terlalu pekat namun masih terasa gurih dan segar. bakso urat benar2 menimbulkan sensasi mengunyah yg menyenangkan, tidak terlalu alot namun tidak lembek juga, pokoknya pas. terletak di tikungan, bila dari kejaksaan masuk ke mendut. tempt cukup bersih dan rapi",positive,positive,neutral,positive,positive
Ainus Sofia,"pelayanan yang tidak ramah, beli es teh 5 dinota juga 5 tapi dilayaninnya 3 ga bilang minta maaf lagi, mana ngomongin kita yang ada",neutral,neutral,neutral,neutral,neutral
oobabyshop,"ramenya banget2 makanan termasuk biasa. tp antriannya luwar byasa harga murah mahal tergantung banyak varian yg di ambil setidaknya tahu, krn penasaran super rame",neutral,neutral,neutral,neutral,positive
chuck nuris,"ambil bakso dan lainnya secara prasmanan disini, mulai dari bakso urat, bakso telur, bakso kecil, tahu putih, tahu cokelat, siomay dan lainnya lengkap banget hingga bawang dan mie. ada kuah pedas, kuah ori. setiap item bisa ditanyakan dulu ke mbakmasnya biar bisa memperkirakan nanti harganya dalam 1 mangkuk. kuahnya harum enak rempah, bakso uratnya kerasa banget dan empuk. yg suka pedes bisa pilih kuah pedes sesukanya. tempatnya bagus, rapi, bersih. banyak yg rela balik lagi karena enak, goodservice dan harga terjangkau. parkir sepeda cukup aman.",positive,positive,neutral,positive,positive
Ali Mahrus Efendi,"bakso prasmanan rasanya mantab puas dan berkelas bisa memuaskan penikmat bakso yan ingin mengunjungi banyuwangi kota menunya komplit, aneka bakso, kasar halus besar kecil, bakso tangkar,. harga cukup terjangkau. tetsedia tuangan ber-ac yang nyaman. tempat lesehan juga ad. letaknya tergolong ditengah jantung kota banyuwangi. parkir cukup lumayan. penikmat bakso, silahkan datang dan kunjungi",positive,positive,negative,positive,negative
Yoleen Wang,"salah satu tempat warung bakso di banyuwangi yang banyak diminati dan selalu laris. pertama kali nyoba makan bakso pedas kuah pedasnya ampun ampun deh tapi ternyata membuat saya selalu kangen untuk kembali nyoba lagi varian baksonya sama dengan yang lainnya sih, yang membedakan disini adalah tersedia kuah pedasnya, yang ditempat2 lain tidak tersedia. tempatnya sangat nyaman, ada yang mejaan, ada juga yang lesehan. maaf saya mengambil fotonya ini saat lock down, jadi hanya boleh dibungkus.",neutral,neutral,neutral,positive,positive
Lailyyatul Fitriyah,"rasanya mantapp, tempatnya memadai, dengan pelayanan yang baik",positive,neutral,positive,neutral,neutral
Huhu Craft,"pelayanan ramah, cwpat, baksi enak. prasmanan",positive,neutral,positive,neutral,neutral
Regina Ayu F,"best buy in the town. hehe salah satu bakso kuah pedes yg enaaak bgt dan affordable. pentolnya daging bgt baik yg pentol alus maupun kasar. so far, pelayanan cepet sih karena modelnya semi prasmanan gitu. tapi sering kehabisan minuman ntah es jeruk es teh wkwk jadi kalo kesana terutama malem better bawa minum sendiri. parkirnya mayan crowded tp ada pak parkir yg bantuin jadi its okaaay. dan ya saran aja, krn emang rame bgt usahain jgn kesana di jam-jam makan siang wkwkwk mungkin sebelum or dilebihin aja waktunya, krn sering ga dapet kursi.",neutral,positive,neutral,neutral,neutral
ruli fatmawati,"bakso enak, kuah enak, pilihan untuk teman bakso banyak tahu goreng, tahu isi bakso, gorengan, bakso goreng, dan lainnya banyak, senang karena bisa ambil dan pilih sendiri, sayangnya parkirnya kurang luas karena pengunjung selalu banyak.",positive,neutral,neutral,positive,neutral
Tya,mau review terakhir makan 2021 beli tipe yang prasmanan waa saya comot2 aja pas totalan baksoes jerukfruit tea habis hampir 40k gkpp sih kapan lagi makan bakso banyak2 xixixi untuk rasa gurih dan enakkk kalau gk mau kalap bisa langsung ngomong ke mas2nya biar dibikin bakso seporsi 15k gtu,positive,positive,neutral,neutral,positive
Raditya Putra Ramadani,"bakso terdekat dari rumah saya sekitar 3 menitan, warung ini cukup ramai baksonya enak rasanya, cukup bersih ruangannya, baksonya ga kalah sama yang lain pokoknya enak dehh dah lama banget makan bakso di tempat ini",positive,neutral,negative,positive,positive
eka santhika,baso kondusif yg ga kondusif pegawainya aga krg konsen ya. semua berkeliaran kemana2 jadinya bikin antrian yg ga perlu krn kasirnya suka ngilang ngurus stok atau yg lain. yg nuang kuah jg suka ilang2. kalo lbh rapi pelayanannya bakal lebih baik. pegawainya ditanya ga konsen. kuah basonya biasa aja. enakan kuah biasa drpd kuah pedesnya aga ada pait2. bakso jumbo enak. parkirannya jg bisa diatur biar ga ngalangin jalan org masuk.,neutral,neutral,positive,positive,neutral
Yuli Rismawati,"pertama kali datang kesini, karyawannya judesmana ngomongin temenaku yang ga enak , beli esteh 5 dilayani 3 tapi dinotanya ada 5, ga ramah sama sekali, waktu dikomplain malah kek nyalahin kita padahal situ yang salah, mendingin ajarin deh cara layanin customer yang bener",negative,neutral,neutral,neutral,neutral
Agung Dedy,"bakso terkenal di banyuwangi. cobain. kurangnya. mangkok basah sendok garpu juga. banyakin stok mangkok biar kering dulu baru dikeluarin. atau pakai pengering. ambil gorengan, bakso goreng, lontong, pangsit goreng, tahu putih, bakso kecil dan bakso besar kuah biasa. katanya yang pedes enak juga, tapi saya gak suka pedes. bihun bawang goreng dll ambil bebas. minum es jeruk. kuah enak khas bakso solo. bakso kecil enak. bakso besar kurang cocok lembek. gorengan enak. lontongnya kurang pulen tapi so so enak. tahu putih ya gitu aja . penuh smape gak nemu tempat duduk. karena sendiri ya berbagi sama keluarga lain . ya ya bolehlah. oh iya parkir tulisannya mobil gratis. ya saya bawa motor bayar 2rb",negative,neutral,neutral,positive,negative
Desy Wulandari 023,"baksonya enak, gorengannya juga enak dan banyak macamnya, kuah pedesnya beneran pedessss",neutral,neutral,neutral,neutral,positive
Samsul Huda (Abu Nizam),"recommended guys, bakso nya lengkap, ada pentol besar, sedang dan halus kecil, siomay, tahu dan goreng nya itu loh cocok banget saya, dipadukan dg kuah original, merah pedas dan hijau pedas yg sedap. tersedia juga lontong dan krupuk. minumnya tersedia es teh, es jeruk atau cleo botol. ada ruangan vip yg ber ac juga loh. mushola dan toilet pasti ada guys.",positive,positive,neutral,neutral,neutral
Venus Juanda,"baksonya pedesnya enak ada cabe hijau dan cabe merah, bisa milih milih sesuai selera. parkiran ada penjaganya jadi aman. rame bngt jadi harus sabar antri, terlebih antri meja makannya apalagi waktu weekend jadi bersabar. harga wajar dann pas di kantong. lokasi engg jauh dari kota jd bs dijangkau by speda motor dan mobil.",positive,positive,neutral,neutral,positive
Shelina Vidia Kharisma,"rasa keseluruhan 810, tempat 710, layanan 810, harga 1010. makan bertiga porsi gede 3 es teh manis cuma habis 105.000 menurut saya sih ini murah banget ya, tapi kalo masalah harga itu relatif ya cuma sayang mangkoknya ukurannya kecil-kecil, lebih baik diganti yang lebih besar, karna biasanya kalo sistem prasmanan gitu pelanggan cenderung ambilnya agak banyak. kalo mangkoknya kecil selain pelanggan juga susah mau ambil banyak, penjual juga jadi susah ngitungnya, takut ada yang keselip ga kehitung jd terpaksa di ubek-ubek lagi baksonya. saya juga jadi pake 2 mangkok buat makan saya sendiri d tempatnya ada yang berac dan tidak berac. rasa kuahnya juga enak, gak keasinan, bakso kasarnya terasa banget dagingnya, untuk gorengan-gorengannya menurut saya biasa aja, nothing special, sama lain kali mungkin bisa sediain bakso halus ukuran sedang kali ya? soalnya tadi hanya ada bakso halus ukuran kecil, sisanya ada isi telurnya bukan polos gitu. overall recommended sih, boleh dicoba sama setuju sama review-review lain sebelum saya, lebih baik tulisan parkir gratis diturunkan aja, karna saya tetep bayar uang parkir mobil.",negative,positive,neutral,neutral,neutral
Apan San08,"bakso enak, kuahnya mantap. kekurangan ada di parkir mobil, kipas angin kurang, kursi agak berantakan dan tetangga blayer blayer motor jadi kurang kondusif v wkwk, tapi overal bagussss dan enak baksonya a1",positive,positive,neutral,neutral,neutral
Anthony Filbert,"favorit warga lokal nih kayanya. sistemnya pilih-pilih isi mangkoknya gitu. yang difoto cukup 15rb aja, tapi udah mayan kenyang sih meski tanpa nasi. bisa pilih mau kuah kaldupedas. ig anthony_filbert tiktok jalanmakanfoto",positive,neutral,neutral,neutral,positive
Fitri Amaliyah,"liburan ke banyuwangi, pengen makan bakso, iseng cari di maps yg searah sama tempat yg mau kita kunjungin, terus ketemulah warung ini. rasanya enak, harga terjangkau, banyak pilihan baksonya, favorit aku yg bakso kubis",positive,positive,neutral,positive,positive
Maya Praselina,"ke sini saat jam makan siang skitar pkl 1 siang rameee sekali kami memilih tmpt di dalam yg ber ac tapi kalah panas sama cuaca di luar jd berasa g ada ac hihihi menu bakso yg tersedia dibuat presmanan ambil nampan, mangkok, sendok dan isian bakso sesuai selera. isian yg bs kita ambilnseperti lontong, gorengan, mihun, mie kuning, daun bawang, bawang goreng. lalu bergeser mendekati kasir disana ada pelayan yg standby didepan utk mengambil request pelanggan, yakni macam2 pentol bakso dan tahu kuah. kuahnya ada 2 mcm, kuah pedas dan original. saranku kl g suka oedas di mix aja, tapi percayalah kuah oedasnya seger banget. beda kaya bakso2 lain recomended cobain yaaa",neutral,positive,neutral,negative,neutral
Sarah kumala,kuah pedasnya terlalu asin menurut saya,neutral,neutral,neutral,neutral,neutral
Wiga Purnomo,bakso enak. daging banget dan ngurat. pembayaran bisa qris. kamar mandi cm mungkin kedepan bisa ditambah. pas kmrn ada yg bab sampai antri untuk bak 3 org.,positive,positive,neutral,neutral,positive
yosi almanar,"bukan tipe yang dagingnya ekstra meaty banget, tpi masih enak juga, bisa ambil mie dan sayur sesukanya",positive,neutral,neutral,neutral,neutral
Risantino,"mie yang lumayan enak, dengan banyak pilihan seperti bakso pentol jumbo, pentol kecil, pentol pedas, bakso campur, aneka gorengan dan lontong. uniknya adalah varian kuahnya seperti kuah pedas, kuah rawon harganya standar. minusnya adalah mangkok baksonya kecil dari mangkok bakso kebanyakan. apalagi kuahnya yang sangat sedikit mending kita nambah sendiri kuahnya. tidak memakai mie bihun, tapi memakai mie kuning sebagai pelengkapnya. enaknya disini parkir gratis, dan kondisi warung yang terjaga kebersihannya.",positive,neutral,neutral,positive,negative
Adrian Pradana,the best bakso daging in town. kasian kasirnya cuman 1 itupun merangkap melayani bungkus ojolgofood jadinya kasir sering ditinggal antrian jadi menumpuk,neutral,neutral,neutral,neutral,neutral
Ida bagus anuraga kartika,"pas kesini udah banyak yang habis tinggal bakso besar urat, kecil halus dan tahu, di tambah tempat duduknya yang terbatas karna lagi di booking vip yang bagian dalem, parkir di pinggir jalan, untuk rasa jujur biasa aja sih cuman ada yang khusus kuah pedas itu aja, 2 porsi habis 47k sama minum aqua dan es teh",negative,positive,neutral,neutral,positive
Luna A,"rasanya enak, baksonya ngurat banget. ada macam2 kuah, tapi saya personal suka yang ori.",positive,neutral,neutral,neutral,neutral
Rizky Hartarti,"sistem prasmanan baksonya bisa ambil sesuai keinginan kuah pedesnya nagih bangett, baksonya dagingnya juga terasa banget joss deh",positive,positive,neutral,neutral,neutral
Merlyn,"bakso dan kuahnya enak. mbaknya agak galak, kami datang malam hari mungkin udah kecapekan",positive,neutral,negative,neutral,neutral
Khutfiatul Angel,"sistem makan di tempat itu prasmanan dan bakal dilayani kalo di bungkus aja. baksonya enak, empuk, dan mantul banget. aku suka pentol pedesnya karena isinya kaya cabe d potong potong cuma aku kurang suka sama kaya cacahan jeroannya atau apa kurang paham, karena rasanya manis tapi balik ke selera masing masing ya. trus harga tahu trus gorengannya dari seribuan aja, bakso kecil duaribuan seingetku. tapi kalo kalap bisa abis banyak yaa jadi balik lagi kalo nyesuain kantong ya ambil secukupnya dan sesuain dengan duit. untuk pelayanannya agak lama mungkin krna rame banget dann nyambung ke suasana di warung bakso itu yang dateng silih berganti jadi gabisa lama lama. buat yang suka ngobrol dulu lama setelah makan kurang worth it sih tapi wajib di coba lah minimal sekali.",positive,positive,negative,negative,neutral
Rina Adyta,"baksonya enak banget, self serving bisa ambil dan pilih sesuka hati. dan yang terpenting murah banget, isian bakso mulai 1k dan banyak macam. kuahnya juga ada 3 pilihan rasa kuah ori, merah dan ijo. so recommended",positive,positive,neutral,neutral,positive
Any Diana,"bakso banyak pilihan, rasanya enak, tapi kalau jam makan siang selalu ramai dan penuh",positive,neutral,neutral,neutral,positive
ndez only,"bakso ini baksokondusifpakyanto merupakan salah satu bakso yg cukup enak versi saya di banyuwangi. pentol besarnya merupakan pentol kasar, mirip bakso karangrejo yang di tulungagung ketika mudik. ada beberapa gerobak bakso kondusif pak yanto yang berseliweran di wilayah kota, bisa jadi alternatif ketika di gerainya sedang ramai, seperti hari ini. untungnya ada meja kosong di ruang ber-ac. dari x-banner yg terpasang, bakso ini mulai buka sejak tahun 2001,cukup lama juga ya.",positive,positive,negative,positive,positive
Taufik Hidayat,"bakso banyak pilihan dan enak. ambil sendiri mangkok dan mie nya, jenis bakso tinggal ditunjuk. harga wajar. rame setiap saat. parkir mobil terbatas.",positive,positive,neutral,neutral,positive
Dovikagung Prasetyo,kalo kesini selalu antri dan rame. sudah jadi langganan karena rasa baksonya bener2 nikmat dan bikin nagih. pingin nyobain kuah pedesnya selalu kehabisan.,positive,neutral,neutral,neutral,neutral
Yulie JK,"tempatnya lumayan bersih,menu baksonya beragam yg pasti soal rasa gak usah diragukan lagi,tapi dari segi pelayanan lebih suka yg dulu.yang lainnya gak ada masalah apapun,oh ya,,gak nyangka juga pas buka puasa dapet menu es campur gratis",neutral,positive,neutral,positive,positive
Rizky Lukita,baksonya enak dan kuahnya seger. banyak pilihan macam bakso. tempatnya mencukupi meskipun agak sempit karena saking ramenya,positive,neutral,neutral,negative,positive
Rani Hidayati,"konsep pelayanannya prasmanan. tersedia bermacam-macam pelengkap bakso seperti gorengan cambah, tahu pentol, tahu walik, kerupuk, tahu putih dll. ada ruangan yg ber- ac juga.",neutral,neutral,neutral,neutral,neutral
boy laros,di cek lagi kuahnya asiiin banget,neutral,neutral,neutral,neutral,neutral
Retno Damayanti,"wajib coba kuah pedesnya sih. kalo kesini juga jangan pas malem, yakin banyak yg habis hehe",positive,positive,neutral,neutral,positive
maya sari,"lengkap pilihan pentol dan gorengannya ada pilihan kuah biasa dan kuah pedas warning,klo ksni jgn pas jam makan siang ya siap2 antri selalu full",neutral,positive,neutral,neutral,positive
ike fajarsari,"bakso nya enak. rame banged mesti antri klo bli bakso disini. mas2 yg jualan krang senyum, sibuk kali ngelayani banyaknya pembeli.",positive,neutral,neutral,neutral,positive
lutfi irviandi,"rasa selera, harga kondusif, tempat nyaman ad ac dan non ac,",neutral,neutral,neutral,positive,neutral
Sang Aji,sippp baksonya bersih tempatnya nyaman suasananya standart harganya recomd deh buat kamu pecinta bakso.,neutral,neutral,neutral,positive,neutral
Amilina Rojiba,baksonya enak terutama kuah pedes pake nasi pedes2 seger rasanya. tempat bagus dan nyaman ada tv toilet. harga lumayan terjangkau. tapi emng tampilan baksonya oke sih,positive,positive,neutral,positive,neutral
Riris,"murah, 91 ribu untuk 5 porsi plus minum 3 bakso pentol besar, bakso campur, bakso tangkar plus tambahan 1 porsi gorengan, 3 kerupuk dan 3 lontong.",neutral,positive,neutral,neutral,neutral
Rere Devinda,"bakso nya enak kuahnya enak banget,cuma pelayanan kurang ramah,mbak nya jutek",positive,neutral,negative,neutral,negative
Rizki Duatmaja,"maaf saya edit, tadinya pas makan kasih bintang 5 karna rasa oke, tapi pas pulang ada tulisan parkir gratis tapi tukang parkirnya malah marah pas ga dikasih uang bukan masalah 2rb nya tapi masa kitanya ga salah malah dimarahin, coba dibilangin lagi karyawannya",neutral,positive,neutral,neutral,positive
Dedi Suhandi,"kita lagi jalan2 ke banyuwangi dari bsd tangsel, kaget aja, kita ber3 makan cuma 45.000 udah pake minum segala.",neutral,neutral,neutral,positive,neutral
Fajar Erlangga,"bakso ambil sendiri, di tulis dinota dan bayar. dibelakang ada toilet dan musholla",neutral,neutral,neutral,neutral,neutral
Mbah Dargombez,"rasa lumayan, pilihan isi juga banyak, selain pentol ada gorengan, tahu, lontong, mie kuning dan mihun. harga cukup murah",neutral,positive,neutral,neutral,positive
Suka Makan,"baksonya enak. pentolnya yang kasar paling favorit. apalagi yang pake kuah pedas hijau. aromanya segar. sayang banget, selalu dalam keadaan hangat menuju dingin. jadi ga berasa segeerr. sambel encer banget.",positive,neutral,negative,neutral,neutral
S. Medina,"bersih, sistemnya prasmanan, rasa kuah dan baksonya enak parkiran kecil gorengannya boleh di-upgrade yg engga nyilok sekali, please",positive,neutral,neutral,positive,negative
Eko Sofyan Hadi,"murah , rasanya enak , pelayanannya ramah , cepat",positive,positive,positive,neutral,neutral
Fiqi Nur,"bakso banyak pilihannya, kuah juga ada yg pedas. mantap. cuma susah parkir mobilnya",positive,neutral,neutral,neutral,positive
ita brita,"gak ngerti lagi seenak itu bakso kuah pedesnya, wajib coba nih gengs saran menu minuman ditambah ya bang,gorengan sama kerupuknya sekalian",positive,neutral,neutral,neutral,neutral
Sarah Estefan,bakso urat nya jirrrr enak bgt tp susah kalo mau kesini jauh gtt,positive,neutral,neutral,neutral,neutral
Petra Priana,"saya datang pas malam hari, bnyak yg udh hbis hanya kebagian bakso biasa, disarankan datang pas siang hari ya biar kebgian semuanya jenis bksonya, paling enak bakso kuah pedas ma ditambah bakso besar, harga terjangkau lah, tempatnya juga nyaman, bersih.,",positive,positive,neutral,positive,positive
micenkz Ichigeki,salah satu legend bakso di banyuwangii rasa kuah yang mantab varian baksonya juga byk ada bakso kuah pedas buat pnggemar pedas bisa di coba,neutral,neutral,neutral,positive,neutral
Julias Andrianto,"bakso enak makan cepat, cuma bayar lama kalo pas makan siang karena rame.",positive,positive,neutral,neutral,positive
Rudi (Rudd),"istimewa tp untuk daging tangkarnya kurang empuk, selebihnya pas",positive,positive,neutral,neutral,neutral
Laefi Rahmat P,banyak pilihan baksonya dari yg original sampai yg kuah pedasss. soal rasa enak laah,positive,neutral,neutral,neutral,positive
xiao wei chen,"beli untuk dibawa pulang ,kuah pedas tapi rasanya asin banget gak bisa dimakan",negative,neutral,neutral,neutral,neutral
Agus Choirul Huda,"bakso prasmanan, banyak pilihan, terdapat kuah pedas juga, rasa mantap harga bersahabat. recommended",positive,positive,neutral,neutral,positive
DEDY DARMANTO,pingin merasakan bakso dengan sensasi berbeda? ini dia salah satu sajian khas warung bakso pak yanto. bakso sayur kuah pedas dijamin mantap !!,positive,neutral,neutral,neutral,neutral
Ovia Chandra,kuahnya sering asin banget. rasa ga konsisten,negative,neutral,neutral,neutral,neutral
farhan wildan,pentol jumbo nya muantap pol. kuahnya berasa banget. tempatnya nyaman. harganya terjangkau. maknyusss,positive,positive,neutral,positive,neutral
Ollyvia Maria Christy,enakkkk. warung bakso prasmanan. wajib dicoba tempatnya duduknya mungkin bisa ditambah lagi,positive,neutral,neutral,neutral,neutral
Cahyadi tan,lumayan enak bakso uratnya. mesti datang agak pagian kalau mau lengkap isinya,positive,neutral,neutral,neutral,neutral
Elta Marina,enakkkk!!! murah!! kuah pedesnya mantap cobain deh,positive,positive,neutral,neutral,neutral
Anggiaaa,"dulu langganan banget. kalo beli bakso pasti disini. bisa dibilang ini termasuk bakso favorit aku. sejak setahun lalu pindah kota tempat tinggal jadi gak pernah beli disini, dan hari ini pas ke bwi karena rindu banget sama bakso kondusif jadilah beli take away. eh ternyata rasanya udah berubah. bakso merconnya memang isian dagingnya lebih banyak, tp pentolnya kurang daging dan banyakan tepungnya, teksturnya pun beda dari sebelumnya, jadi lebih lembek. dan kuahnya pun berubah rasa, yg skrg ada aroma smooky dari kayu bakar. entah mgkn skrg memang dibikin perubahan, dan mgkn beberapa orang suka. tp maaf kalo saya pribadi dari dulu langganan karena suka rasanya yg dulu. jadi kalo skrg berubah jadi tidak sefavorit dulu lagi",neutral,positive,neutral,neutral,positive
